Surveillance Network,Season,MMWR Year,MMWR Week,Age group,Sex,Race/Ethnicity,Site,Weekly Rate,Cumulative Rate,Week Ending Date
FluSurv-NET,2018-19,2018,40,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0,2018-10-06T00:00:00.000
FluSurv-NET,2018-19,2018,41,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0,2018-10-13T00:00:00.000
FluSurv-NET,2018-19,2018,42,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0,2018-10-20T00:00:00.000
FluSurv-NET,2018-19,2018,43,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0,2018-10-27T00:00:00.000
FluSurv-NET,2018-19,2018,44,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0,2018-11-03T00:00:00.000
FluSurv-NET,2018-19,2018,45,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0,2018-11-10T00:00:00.000
FluSurv-NET,2018-19,2018,46,Overall,Overall,"AI/AN, non-Hispanic",Overall,0.5,0.5,2018-11-17T00:00:00.000
FluSurv-NET,2018-19,2018,47,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0.5,2018-11-24T00:00:00.000
FluSurv-NET,2018-19,2018,48,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0.5,2018-12-01T00:00:00.000
FluSurv-NET,2018-19,2018,49,Overall,Overall,"AI/AN, non-Hispanic",Overall,1,1.5,2018-12-08T00:00:00.000
FluSurv-NET,2018-19,2018,50,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.5,3.9,2018-12-15T00:00:00.000
FluSurv-NET,2018-19,2018,51,Overall,Overall,"AI/AN, non-Hispanic",Overall,5.4,9.3,2018-12-22T00:00:00.000
FluSurv-NET,2018-19,2018,52,Overall,Overall,"AI/AN, non-Hispanic",Overall,5.4,14.7,2018-12-29T00:00:00.000
FluSurv-NET,2018-19,2019,1,Overall,Overall,"AI/AN, non-Hispanic",Overall,8.8,23.6,2019-01-05T00:00:00.000
FluSurv-NET,2018-19,2019,2,Overall,Overall,"AI/AN, non-Hispanic",Overall,6.9,30.5,2019-01-12T00:00:00.000
FluSurv-NET,2018-19,2019,3,Overall,Overall,"AI/AN, non-Hispanic",Overall,3.4,33.9,2019-01-19T00:00:00.000
FluSurv-NET,2018-19,2019,4,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.9,36.8,2019-01-26T00:00:00.000
FluSurv-NET,2018-19,2019,5,Overall,Overall,"AI/AN, non-Hispanic",Overall,3.9,40.8,2019-02-02T00:00:00.000
FluSurv-NET,2018-19,2019,6,Overall,Overall,"AI/AN, non-Hispanic",Overall,5.4,46.2,2019-02-09T00:00:00.000
FluSurv-NET,2018-19,2019,7,Overall,Overall,"AI/AN, non-Hispanic",Overall,5.4,51.6,2019-02-16T00:00:00.000
FluSurv-NET,2018-19,2019,8,Overall,Overall,"AI/AN, non-Hispanic",Overall,8.8,60.4,2019-02-23T00:00:00.000
FluSurv-NET,2018-19,2019,9,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.5,62.9,2019-03-02T00:00:00.000
FluSurv-NET,2018-19,2019,10,Overall,Overall,"AI/AN, non-Hispanic",Overall,6.4,69.3,2019-03-09T00:00:00.000
FluSurv-NET,2018-19,2019,11,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.9,72.2,2019-03-16T00:00:00.000
FluSurv-NET,2018-19,2019,12,Overall,Overall,"AI/AN, non-Hispanic",Overall,5.9,78.1,2019-03-23T00:00:00.000
FluSurv-NET,2018-19,2019,13,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.5,80.6,2019-03-30T00:00:00.000
FluSurv-NET,2018-19,2019,14,Overall,Overall,"AI/AN, non-Hispanic",Overall,2,82.5,2019-04-06T00:00:00.000
FluSurv-NET,2018-19,2019,15,Overall,Overall,"AI/AN, non-Hispanic",Overall,1.5,84,2019-04-13T00:00:00.000
FluSurv-NET,2018-19,2019,16,Overall,Overall,"AI/AN, non-Hispanic",Overall,1.5,85.5,2019-04-20T00:00:00.000
FluSurv-NET,2018-19,2019,17,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,85.5,2019-04-27T00:00:00.000
FluSurv-NET,2018-19,2019,18,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,85.5,2019-05-04T00:00:00.000
FluSurv-NET,2019-20,2019,40,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0,2019-10-05T00:00:00.000
FluSurv-NET,2019-20,2019,41,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0,2019-10-12T00:00:00.000
FluSurv-NET,2019-20,2019,42,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0,2019-10-19T00:00:00.000
FluSurv-NET,2019-20,2019,43,Overall,Overall,"AI/AN, non-Hispanic",Overall,0.5,0.5,2019-10-26T00:00:00.000
FluSurv-NET,2019-20,2019,44,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0.5,2019-11-02T00:00:00.000
FluSurv-NET,2019-20,2019,45,Overall,Overall,"AI/AN, non-Hispanic",Overall,0.5,1,2019-11-09T00:00:00.000
FluSurv-NET,2019-20,2019,46,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,1,2019-11-16T00:00:00.000
FluSurv-NET,2019-20,2019,47,Overall,Overall,"AI/AN, non-Hispanic",Overall,1,2,2019-11-23T00:00:00.000
FluSurv-NET,2019-20,2019,48,Overall,Overall,"AI/AN, non-Hispanic",Overall,1,2.9,2019-11-30T00:00:00.000
FluSurv-NET,2019-20,2019,49,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.4,5.4,2019-12-07T00:00:00.000
FluSurv-NET,2019-20,2019,50,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.9,8.3,2019-12-14T00:00:00.000
FluSurv-NET,2019-20,2019,51,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.9,11.2,2019-12-21T00:00:00.000
FluSurv-NET,2019-20,2019,52,Overall,Overall,"AI/AN, non-Hispanic",Overall,5.4,16.6,2019-12-28T00:00:00.000
FluSurv-NET,2019-20,2020,1,Overall,Overall,"AI/AN, non-Hispanic",Overall,7.3,23.9,2020-01-04T00:00:00.000
FluSurv-NET,2019-20,2020,2,Overall,Overall,"AI/AN, non-Hispanic",Overall,5.9,29.7,2020-01-11T00:00:00.000
FluSurv-NET,2019-20,2020,3,Overall,Overall,"AI/AN, non-Hispanic",Overall,11.2,41,2020-01-18T00:00:00.000
FluSurv-NET,2019-20,2020,4,Overall,Overall,"AI/AN, non-Hispanic",Overall,5.4,46.3,2020-01-25T00:00:00.000
FluSurv-NET,2019-20,2020,5,Overall,Overall,"AI/AN, non-Hispanic",Overall,8.8,55.1,2020-02-01T00:00:00.000
FluSurv-NET,2019-20,2020,6,Overall,Overall,"AI/AN, non-Hispanic",Overall,10.2,65.3,2020-02-08T00:00:00.000
FluSurv-NET,2019-20,2020,7,Overall,Overall,"AI/AN, non-Hispanic",Overall,4.9,70.2,2020-02-15T00:00:00.000
FluSurv-NET,2019-20,2020,8,Overall,Overall,"AI/AN, non-Hispanic",Overall,5.4,75.6,2020-02-22T00:00:00.000
FluSurv-NET,2019-20,2020,9,Overall,Overall,"AI/AN, non-Hispanic",Overall,5.4,81,2020-02-29T00:00:00.000
FluSurv-NET,2019-20,2020,10,Overall,Overall,"AI/AN, non-Hispanic",Overall,4.4,85.3,2020-03-07T00:00:00.000
FluSurv-NET,2019-20,2020,11,Overall,Overall,"AI/AN, non-Hispanic",Overall,3.4,88.8,2020-03-14T00:00:00.000
FluSurv-NET,2019-20,2020,12,Overall,Overall,"AI/AN, non-Hispanic",Overall,2.4,91.2,2020-03-21T00:00:00.000
FluSurv-NET,2019-20,2020,13,Overall,Overall,"AI/AN, non-Hispanic",Overall,0.5,91.7,2020-03-28T00:00:00.000
FluSurv-NET,2019-20,2020,14,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,91.7,2020-04-04T00:00:00.000
FluSurv-NET,2019-20,2020,15,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,91.7,2020-04-11T00:00:00.000
FluSurv-NET,2019-20,2020,16,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,91.7,2020-04-18T00:00:00.000
FluSurv-NET,2019-20,2020,17,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,91.7,2020-04-25T00:00:00.000
FluSurv-NET,2019-20,2020,18,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,91.7,2020-05-02T00:00:00.000
FluSurv-NET,2021-22,2021,40,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,0,2021-10-09T00:00:00.000
FluSurv-NET,2021-22,2021,41,Overall,Overall,"AI/AN, non-Hispanic",Overall,0.6,0.6,2021-10-16T00:00:00.000
FluSurv-NET,2021-22,2021,42,Overall,Overall,"AI/AN, non-Hispanic",Overall,0.6,1.1,2021-10-23T00:00:00.000
FluSurv-NET,2021-22,2021,43,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,1.1,2021-10-30T00:00:00.000
FluSurv-NET,2021-22,2021,44,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,1.1,2021-11-06T00:00:00.000
FluSurv-NET,2021-22,2021,45,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,1.1,2021-11-13T00:00:00.000
FluSurv-NET,2021-22,2021,46,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,1.1,2021-11-20T00:00:00.000
FluSurv-NET,2021-22,2021,47,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,1.1,2021-11-27T00:00:00.000
FluSurv-NET,2021-22,2021,48,Overall,Overall,"AI/AN, non-Hispanic",Overall,0.6,1.7,2021-12-04T00:00:00.000
FluSurv-NET,2021-22,2021,49,Overall,Overall,"AI/AN, non-Hispanic",Overall,1.1,2.8,2021-12-11T00:00:00.000
FluSurv-NET,2021-22,2021,50,Overall,Overall,"AI/AN, non-Hispanic",Overall,0,2.8,2021-12-18T00:00:00.000
FluSurv-NET,2021-22,2021,51,Overall,Overall,"AI/AN, non-Hispanic",Overall,1.1,3.9,2021-12-25T00:00:00.000
