Influenza_Season,Start_Date,End_Date,Reporting_Timeframe,Week,Week_Sort_Order,Current_Season_Week_Ending_Label,Cumulative_Flu_Doses_Distributed,Current_Through
2018-2019,07/29/2018,08/04/2018,2018-07-29 - 2018-08-04,30,1,08/05/2023,0.52,03/04/2023
2018-2019,08/05/2018,08/11/2018,2018-08-05 - 2018-08-11,31,2,08/12/2023,3.23,03/04/2023
2018-2019,08/12/2018,08/18/2018,2018-08-12 - 2018-08-18,32,3,08/19/2023,10.18,03/04/2023
2018-2019,08/19/2018,08/25/2018,2018-08-19 - 2018-08-25,33,4,08/26/2023,19.99,03/04/2023
2018-2019,08/26/2018,09/01/2018,2018-08-26 - 2018-09-01,34,5,09/02/2023,37.38,03/04/2023
2018-2019,09/02/2018,09/08/2018,2018-09-02 - 2018-09-08,35,6,09/09/2023,52.23,03/04/2023
2018-2019,09/09/2018,09/15/2018,2018-09-09 - 2018-09-15,36,7,09/16/2023,70.39,03/04/2023
2018-2019,09/16/2018,09/22/2018,2018-09-16 - 2018-09-22,37,8,09/23/2023,87.79,03/04/2023
2018-2019,09/23/2018,09/29/2018,2018-09-23 - 2018-09-29,38,9,09/30/2023,104.38,03/04/2023
2018-2019,09/30/2018,10/06/2018,2018-09-30 - 2018-10-06,39,10,10/07/2023,118.8,03/04/2023
2018-2019,10/07/2018,10/13/2018,2018-10-07 - 2018-10-13,40,11,10/14/2023,132.57,03/04/2023
2018-2019,10/14/2018,10/20/2018,2018-10-14 - 2018-10-20,41,12,10/21/2023,143.84,03/04/2023
2018-2019,10/21/2018,10/27/2018,2018-10-21 - 2018-10-27,42,13,10/28/2023,152.02,03/04/2023
2018-2019,10/28/2018,11/03/2018,2018-10-28 - 2018-11-03,43,14,11/04/2023,157.64,03/04/2023
2018-2019,11/04/2018,11/10/2018,2018-11-04 - 2018-11-10,44,15,11/11/2023,160.55,03/04/2023
2018-2019,11/11/2018,11/17/2018,2018-11-11 - 2018-11-17,45,16,11/18/2023,162.96,03/04/2023
2018-2019,11/18/2018,11/24/2018,2018-11-18 - 2018-11-24,46,17,11/25/2023,163.95,03/04/2023
2018-2019,11/25/2018,12/01/2018,2018-11-25 - 2018-12-01,47,18,12/02/2023,165.5,03/04/2023
2018-2019,12/02/2018,12/08/2018,2018-12-02 - 2018-12-08,48,19,12/09/2023,166.54,03/04/2023
2018-2019,12/09/2018,12/15/2018,2018-12-09 - 2018-12-15,49,20,12/16/2023,167.79,03/04/2023
2018-2019,12/16/2018,12/22/2018,2018-12-16 - 2018-12-22,50,21,12/23/2023,168.26,03/04/2023
2018-2019,12/23/2018,12/29/2018,2018-12-23 - 2018-12-29,51,22,12/30/2023,168.4,03/04/2023
2018-2019,12/30/2018,01/05/2019,2018-12-30 - 2019-01-05,52,23,01/06/2024,168.85,03/04/2023
2018-2019,01/06/2019,01/12/2019,2019-01-06 - 2019-01-12,1,24,01/13/2024,169.3,03/04/2023
2018-2019,01/13/2019,01/19/2019,2019-01-13 - 2019-01-19,2,25,01/20/2024,169.66,03/04/2023
2018-2019,01/20/2019,01/26/2019,2019-01-20 - 2019-01-26,3,26,01/27/2024,169.89,03/04/2023
2018-2019,01/27/2019,02/02/2019,2019-01-27 - 2019-02-02,4,27,02/03/2024,170.09,03/04/2023
2018-2019,02/03/2019,02/09/2019,2019-02-03 - 2019-02-09,5,28,02/10/2024,170.3,03/04/2023
2018-2019,02/10/2019,02/16/2019,2019-02-10 - 2019-02-16,6,29,02/17/2024,170.48,03/04/2023
2018-2019,02/17/2019,02/23/2019,2019-02-17 - 2019-02-23,7,30,02/24/2024,170.62,03/04/2023
2018-2019,02/24/2019,03/02/2019,2019-02-24 - 2019-03-02,8,31,03/02/2024,170.73,03/04/2023
2018-2019,03/03/2019,03/09/2019,2019-03-03 - 2019-03-09,9,32,03/09/2024,170.73,03/04/2023
2019-2020,07/28/2019,08/03/2019,2019-07-28 - 2019-08-03,30,1,08/05/2023,4.12,02/24/2024
2019-2020,08/04/2019,08/10/2019,2019-08-04 - 2019-08-10,31,2,08/12/2023,8.74,02/24/2024
2019-2020,08/11/2019,08/17/2019,2019-08-11 - 2019-08-17,32,3,08/19/2023,14.98,02/24/2024
2019-2020,08/18/2019,08/24/2019,2019-08-18 - 2019-08-24,33,4,08/26/2023,26.9,02/24/2024
2019-2020,08/25/2019,08/31/2019,2019-08-25 - 2019-08-31,34,5,09/02/2023,41.82,02/24/2024
2019-2020,09/01/2019,09/07/2019,2019-09-01 - 2019-09-07,35,6,09/09/2023,51.8,02/24/2024
2019-2020,09/08/2019,09/14/2019,2019-09-08 - 2019-09-14,36,7,09/16/2023,63.13,02/24/2024
2019-2020,09/15/2019,09/21/2019,2019-09-15 - 2019-09-21,37,8,09/23/2023,76.18,02/24/2024
