Season,Month,Month_Number,Week,Month_Week_Label,Month_Week_Sort_Order,Cumulative_Flu_Doses_Distributed,Imputed_Value,Current_Through
2016-2017,August,2,1,August wk 1,21,,false,09/24/2021 12:00:00 AM
2016-2017,August,2,2,August wk 2,22,,false,09/24/2021 12:00:00 AM
2016-2017,August,2,3,August wk 3,23,,false,09/24/2021 12:00:00 AM
2016-2017,August,2,4,August wk 4,24,,false,09/24/2021 12:00:00 AM
2016-2017,September,3,1,September wk 1,31,52.7,false,09/24/2021 12:00:00 AM
2016-2017,September,3,2,September wk 2,32,69.7,false,09/24/2021 12:00:00 AM
2016-2017,September,3,3,September wk 3,33,93.2,false,09/24/2021 12:00:00 AM
2016-2017,September,3,4,September wk 4,34,108.8,false,09/24/2021 12:00:00 AM
2016-2017,October,4,1,October wk 1,41,105.7,false,09/24/2021 12:00:00 AM
2016-2017,October,4,2,October wk 2,42,116.3,false,09/24/2021 12:00:00 AM
2016-2017,October,4,3,October wk 3,43,124.5,false,09/24/2021 12:00:00 AM
2016-2017,October,4,4,October wk 4,44,130.3,false,09/24/2021 12:00:00 AM
2016-2017,November,5,1,November wk 1,51,134,false,09/24/2021 12:00:00 AM
2016-2017,November,5,2,November wk 2,52,136.1,false,09/24/2021 12:00:00 AM
2016-2017,November,5,3,November wk 3,53,139,false,09/24/2021 12:00:00 AM
2016-2017,November,5,4,November wk 4,54,139.6,false,09/24/2021 12:00:00 AM
2016-2017,December,6,1,December wk 1,61,142,false,09/24/2021 12:00:00 AM
2016-2017,December,6,2,December wk 2,62,143.2,false,09/24/2021 12:00:00 AM
2016-2017,December,6,3,December wk 3,63,143.5,true,09/24/2021 12:00:00 AM
2016-2017,December,6,4,December wk 4,64,143.7,false,09/24/2021 12:00:00 AM
2016-2017,January,7,1,January wk 1,71,144.1,false,09/24/2021 12:00:00 AM
2016-2017,January,7,2,January wk 2,72,144.6,false,09/24/2021 12:00:00 AM
2016-2017,January,7,3,January wk 3,73,144.9,false,09/24/2021 12:00:00 AM
2016-2017,January,7,4,January wk 4,74,145,false,09/24/2021 12:00:00 AM
2016-2017,February,8,1,February wk 1,81,145.2,false,09/24/2021 12:00:00 AM
2016-2017,February,8,2,February wk 2,82,145.6,false,09/24/2021 12:00:00 AM
2016-2017,February,8,3,February wk 3,83,145.7,false,09/24/2021 12:00:00 AM
2016-2017,February,8,4,February wk 4,84,145.8,false,09/24/2021 12:00:00 AM
2016-2017,March,9,1,March wk 1,91,145.9,false,09/24/2021 12:00:00 AM
2016-2017,March,9,2,March wk 2,92,,false,09/24/2021 12:00:00 AM
2017-2018,August,2,1,August wk 1,21,,false,09/24/2021 12:00:00 AM
2017-2018,August,2,2,August wk 2,22,,false,09/24/2021 12:00:00 AM
2017-2018,August,2,3,August wk 3,23,,false,09/24/2021 12:00:00 AM
2017-2018,August,2,4,August wk 4,24,,false,09/24/2021 12:00:00 AM
2017-2018,September,3,1,September wk 1,31,,false,09/24/2021 12:00:00 AM
2017-2018,September,3,2,September wk 2,32,,false,09/24/2021 12:00:00 AM
2017-2018,September,3,3,September wk 3,33,73.7,false,09/24/2021 12:00:00 AM
2017-2018,September,3,4,September wk 4,34,89.2,true,09/24/2021 12:00:00 AM
2017-2018,October,4,1,October wk 1,41,104.7,false,09/24/2021 12:00:00 AM
2017-2018,October,4,2,October wk 2,42,117.2,false,09/24/2021 12:00:00 AM
2017-2018,October,4,3,October wk 3,43,123.3,false,09/24/2021 12:00:00 AM
2017-2018,October,4,4,October wk 4,44,130.2,false,09/24/2021 12:00:00 AM
2017-2018,November,5,1,November wk 1,51,148.2,false,09/24/2021 12:00:00 AM
2017-2018,November,5,2,November wk 2,52,148.2,false,09/24/2021 12:00:00 AM
2017-2018,November,5,3,November wk 3,53,148.4,true,09/24/2021 12:00:00 AM
2017-2018,November,5,4,November wk 4,54,148.5,false,09/24/2021 12:00:00 AM
2017-2018,December,6,1,December wk 1,61,149.6,false,09/24/2021 12:00:00 AM
2017-2018,December,6,2,December wk 2,62,150.3,false,09/24/2021 12:00:00 AM
